; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1861,0.024856862,0,0,0,0,0,104.94268,0,4268.1198,223.7494094,0,0,0,0,10.01505465,-0.038999429,0.116236223,0.007723273,0,0
1862,0.024856862,0,0,0,0,0,104.93302,0,4267.612,225.2541785,0,0,0,0,9.929570601,-0.039703297,-0.623799831,0.007723273,0,0
1863,0.024856862,0,0,0,0,0,104.9509,0,4268.552,227.3750198,0,0,0,0,9.900536597,-0.040407165,-0.258572909,0.007723273,0,0
1864,0.024856862,0,0,0,0,0,104.94467,0,4268.2247,228.661743,0,0,0,0,9.940873298,-0.041111033,0.037999846,0.007723273,0,0
1865,0.024856862,0,0,0,0,0,104.93017,0,4267.4623,227.9009608,0,0,0,0,9.990832269,-0.041814901,0.142928868,0.007723273,0,0
1866,0.024856862,0,0,0,0,0,104.92398,0,4267.1368,229.0356425,0,0,0,0,9.968537479,-0.04251877,0.174410474,0.007723273,0,0
1867,0.024856862,0,0,0,0,0,104.93094,0,4267.5026,229.4926517,0,0,0,0,10.01644462,-0.043222638,0.184669175,0.007723273,0,0
1868,0.024856862,0,0,0,0,0,104.89186,0,4265.4483,228.2944091,0,0,0,0,9.997913817,-0.043926506,0.188148666,0.007723273,0,0
1869,0.024856862,0,0,0,0,0,104.93014,0,4267.4609,228.0732667,0,0,0,0,9.937295657,-0.044971756,0.189412365,0.007723273,0,0
1870,0.024856862,0,0,0,0,0,104.89317,0,4265.5174,226.3737502,0,0,0,0,10.06955419,-0.046232619,0.18995084,0.007723273,0,0
1871,0.024856862,0,0,0,0,0,104.92871,0,4267.3856,225.0175012,0,0,0,0,10.04909444,-0.047493482,0.190250397,0.007723273,0,0
1872,0.024856862,0,0,0,0,0,104.95075,0,4268.5441,224.3118448,0,0,0,0,10.01879439,-0.048754345,0.188834316,0.007723273,0,0
1873,0.024856862,0,0,0,0,0,104.93223,0,4267.5705,222.4762965,0,0,0,0,9.978793234,-0.050015207,-0.015830031,0.007723273,0,0
1874,0.024856862,0,0,0,0,0,104.88493,0,4265.0843,223.9898734,0,0,0,0,10.01446494,-0.05127607,0.101375665,0.007723273,0,0
1875,0.024856862,0,0,0,0,0,104.93101,0,4267.5065,224.5902055,0,0,0,0,9.923436703,-0.052536933,0.118986332,0.007723273,0,0
1876,0.024856862,0,0,0,0,0,104.90175,0,4265.968,223.4172888,0,0,0,0,9.815848683,-0.053797796,0.130107324,0.007723273,0,0
1877,0.024856862,0,0,0,0,0,104.92824,0,4267.3608,223.7896298,0,0,0,0,9.851293742,-0.0550443,0.169607247,0.007723273,0,0
1878,0.024856862,0,0,0,0,0,104.92472,0,4267.1759,224.3885969,0,0,0,0,9.819631362,-0.056156827,0.184410743,0.007723273,0,0
1879,0.024856862,0,0,0,0,0,104.88028,0,4264.8396,224.756821,0,0,0,0,9.834120781,-0.057269353,0.188659304,0.007723273,0,0
1880,0.024856862,0,0,0,0,0,104.88174,0,4264.9162,225.5176538,0,0,0,0,9.717290693,-0.05838188,0.15238703,0.007723273,0,0
1881,0.024856862,0,0,0,0,0,104.92914,0,4267.4079,225.3096947,0,0,0,0,9.742609271,-0.059494407,0.148042519,0.007723273,0,0
1882,0.024856862,0,0,0,0,0,104.92759,0,4267.3266,225.2050762,0,0,0,0,9.721701948,-0.060606933,0.187436202,0.007723273,0,0
1883,0.024856862,0,0,0,0,0,104.95902,0,4268.979,225.9713895,0,0,0,0,9.70146591,-0.06171946,-0.324594054,0.007723273,0,0
1884,0.024856862,0,0,0,0,0,104.93535,0,4267.7345,226.2955481,0,0,0,0,9.678534346,-0.062831987,-1.815061861,0.007723273,0,0
1885,0.024856862,0,0,0,0,0,104.93798,0,4267.8727,227.2172047,0,0,0,0,9.630967489,-0.063944514,-0.642019714,0.007723273,0,0
1886,0.024856862,0,0,0,0,0,104.9357,0,4267.7531,227.4144705,0,0,0,0,9.71708033,-0.06519373,-0.085245382,0.007723273,0,0
1887,0.024856862,0,0,0,0,0,104.94903,0,4268.4538,227.9629891,0,0,0,0,9.581562888,-0.066541645,-0.025019475,0.007723273,0,0
1888,0.024856862,0,0,0,0,0,104.91459,0,4266.6433,227.030484,0,0,0,0,9.708907461,-0.067889559,0.135007303,0.007723273,0,0
1889,0.024856862,0,0,0,0,0,104.95877,0,4268.9657,228.2662608,0,0,0,0,9.555249676,-0.069237474,0.185818909,0.007723273,0,0
1890,0.024856862,0,0,0,0,0,104.9317,0,4267.5425,227.9411317,0,0,0,0,9.531850869,-0.070585389,0.070301587,0.007723273,0,0
1891,0.024856862,0,0,0,0,0,104.97344,0,4269.7366,229.0106304,0,0,0,0,9.638127019,-0.071933303,-0.102313757,0.007723273,0,0
1892,0.024856862,0,0,0,0,0,104.99082,0,4270.6504,231.3031001,0,0,0,0,9.710509513,-0.073281218,0.077630856,0.007723273,0,0
